OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,YEAR,PEAK_MONTH,AVAIL_CAP,PLAN_OUT,UNPLAN_OUT,OTHER_OUT,TOTAL_CAP,PEAK_LOAD,MIN_LOAD,GlobalID,SHAPE_Length,SHAPE_Area
11,3522,CHUGACH ELECTRIC ASSN INC,5601 ELECTRON DR,ANCHORAGE,AK,99519,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,NOT AVAILABLE,2019,1,513,50,0,75,556,237,121,{401E158A-036A-4B5D-9A13-68251A240F46},56.548245123482,-7.64319428284999
12,5326,PUD NO. 1 OF DOUGLAS COUNTY,1151 VALLEY MALL PARKWAY,EAST WENATCHEE,WA,98802,(800) 503-7990,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,http://www.douglaspud-org/,2019,2,734,84,22,0,909,414,216,{D3F39214-6966-442C-9DBA-23D9A9796892},8.72361458224175,-1.48843029172613
13,5416,DUKE ENERGY CAROLINAS,DEC-43A/550 SOUTH TRYON STREET,CHARLOTTE,NC,28202,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,NOT AVAILABLE,2019,7,24850,358,369,0,25602,20597,8082,{AC6125EA-F493-49B5-9916-7ED00C61E258},20.8172645023459,-8.76798970687165
14,5701,EL PASO ELECTRIC COMPANY,P O BOX 982,EL PASO,TX,79960,(800) 592-1634,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,http://www.epelectric.com/,2019,8,1965,0,106,0,2071,1972,834,{4D98E2B4-5F65-4BE2-98F6-2056FEEE1171},38.199151352388,-17.5329310754
15,5723,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",7620 METRO CENTER DRIVE,AUSTIN,TX,78744,(512) 225-7000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,http://www.ercot.com/,2019,8,94329,0,4568,0,99327,74819,38152,{6302BC7B-A079-48E1-B058-A328F6C993A4},87.2246943020975,-48.1189508704656
16,5748,"ELECTRIC ENERGY, INC.",P O BOX 165,JOPPA,IL,62953,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,NOT AVAILABLE,2019,1,1235,0,0,0,1235,0,0,{C6C75EF7-1B7A-477C-9BE5-7C4102ADEF38},1.64077257781631,-0.133936098
17,6452,FLORIDA POWER & LIGHT COMPANY,P O BOX 29100,MIAMI,FL,33102,(800) 375-2434,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.sec.gov/Archives/edgar/data/37634/000075330812000025/fplserviceterritorymap.jpg",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,www.fpl.com,2019,6,25045,1785,-19,0,26811,24113,9902,{272AC8AC-D6BD-4B72-AE47-CAF1B50C8BE6},90.7407249418431,-6.17185916500521
18,6455,DUKE ENERGY FLORIDA INC,P O BOX 14042,ST. PETERSBURG,FL,33733,(800) 700-8744,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.duke-energy.com/outages/current-outages",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,https://www.progress-energy.com/florida/home/index.page,2019,6,11260,78,373,0,9622,11667,4275,{3789987D-0EA1-4892-80B4-6DF6F1100CE4},54.9827438179074,-7.42640751350282
19,6909,GAINESVILLE REGIONAL UTILITIES,P O BOX 147117,GAINESVILLE,FL,32614,(352) 334-3434,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,https://www.gru.com/,2019,7,661,0,0,0,661,429,168,{35D5A68C-B6B6-4609-A38E-0CAB57607E75},2.64884379988488,-0.233983702399998
20,8795,CITY OF HOMESTEAD,675 N FLAGLER AVE,HOMESTEAD,FL,33030,(305) 224-4800,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,http://www.cityofhomestead.com/index.aspx?nid=91,2019,7,2,26,6,0,170,115,50,{9C1BB805-2627-435A-BDB8-CEC2E797CB34},7.59799886358605,-0.461225878799995
21,9191,IDAHO POWER COMPANY,1221 W. IDAHO STREET,BOISE,ID,83702,(800) 488-6151,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,https://www.idahopower-com/aboutus/companyinformation/contactus-cfm,2019,7,3198,162,3,142,3507,3611,1970,{DD029738-54AC-4D04-8EA0-55C55BCF431A},34.3047214367738,-25.60162261565
22,9216,IMPERIAL IRRIGATION DISTRICT,333 EAST BARIONI BOULEVARD,IMPERIAL,CA,92251,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,http://www.iid.com/,2019,8,657,11,42,0,727,1067,352,{7BFB6FF5-8B18-488A-AD46-0F1D3B351C8D},6.83927447435752,-1.66015860913264
23,9617,JEA,21 WEST CHURCH ST.,JACKSONVILLE,FL,32202,(904) 665-6000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.jea.com/outage_center/outage_map/",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,https://www.jea.com/,2019,8,2907,0,0,0,2907,2717,1093,{19113225-78CB-4301-BEE5-DDFB23E124D2},10.319928722802,-0.967819487704066
24,11208,LOS ANGELES DEPARTMENT OF WATER AND POWER,P O BOX 51111,LOS ANGELES,CA,90051,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,NOT AVAILABLE,2019,9,8094,725,116,0,9466,6203,2082,{FAC888BD-3090-40AF-8E9A-6357933A935E},10.2069451784606,-0.612501088940722
25,11249,LOUISVILLE GAS AND ELECTRIC COMPANY AND KENTUCKY UTILITIES,220 W MAIN SREET,LOUISVILLE,KY,40202,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, http://energy.ky.gov/generation/Documents/Electric_Service_Areas_Legal_Size_Map.pdf",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,NOT AVAILABLE,2019,8,8674,0,357,0,9031,6892,2831,{D0D65DEF-9BDB-4C0D-80D0-E7482B326C25},84.8482222184173,-1.42565957100865
26,12825,NORTHWESTERN ENERGY (NWMT),40 E. BROADWAY,BUTTE,MT,59701,(888) 467-2669,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,http://www.northwesternenergy-com/contact-us,2019,8,2033,108,0,256,2920,1904,1125,{421F071F-34EA-4430-AE2C-20A01A2E01AB},57.6853291125521,-39.8962152150201
27,13407,NEVADA POWER COMPANY,6226 WEST SAHARA,LAS VEGAS,NV,89151,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,https://www.nvenergy.com/,2019,8,9724,0,0,0,9724,8423,3719,{637C86B9-7F65-456C-9300-21870DA7AEC4},36.4186938523703,-38.87332018775
28,13434,ISO NEW ENGLAND INC.,1 SULLIVAN RD,HOLYOKE,MA,01040,(413) 535-4000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,https://www.iso-ne.com/,2019,7,30126,51,1221,0,34562,24324,10181,{2AEC0915-BADC-45B0-B7BA-B94BAE74EF54},82.4049321059095,-19.3798008614905
29,13485,"NEW SMYRNA BEACH, UTILITIES COMMISSION OF",200 CANAL ST.,NEW SMYRNA BEACH,FL,32168,(386) 427-1361,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017/11/09 00:00:00+00,OTHER,2018/06/04 00:00:00+00,http://www.ucnsb.net/,NOT AVAILABLE,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,{105A70B0-E5B0-43F6-9396-597C561A2CA5},6.81839888994956,-0.297514660699998
30,13501,NEW YORK INDEPENDENT SYSTEM OPERATOR,10 KREY BOULEVARD,RENSSELAER,NY,12144,(518) 356-6000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,http://www.nyiso.com/,2019,7,37888,-1091,-140,0,36657,30397,14722,{534246AD-CEF5-4812-95B9-397A4F4868D9},49.9087660284453,-14.1174000875956
31,14015,OHIO VALLEY ELECTRIC CORPORATION,3932 U.S. ROUTE 23,PIKETON,OH,45661,(740) 289-7200,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00+00,OTHER,2020/05/15 00:00:00+00,https://www.ovec.com/,2018,3,2026,0,0,225,2251,141,30,{3122D854-1648-4090-B389-41589F4DB1F5},1.59950951999862,-0.119699238630501
32,14378,PACIFICORP - WEST,P O BOX 26000,PORTLAND,OR,97256,(888) 221-7070,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,https://www.pacificorp.com/,2019,2,6158,18,68,60,6304,3897,1933,{406EDC57-2CF1-4F3C-A39B-DDA251D398F6},63.8434609633101,-27.856109111
33,14379,PACIFICORP - EAST,P O BOX 26000,PORTLAND,OR,97256,(888) 221-7070,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,https://www.pacificorp.com/,2019,7,10676,145,148,163,11132,8964,4798,{85142AC8-8373-48D4-8936-AE1159C8D07E},78.150443371787,-66.2963389535
34,14412,"GILA RIVER POWER, LLC",NOT AVAILABLE,NOT AVAILABLE,AZ,NOT AVAILABLE,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2019/06/20 00:00:00+00,OTHER,2020/05/15 00:00:00+00,NOT AVAILABLE,2018,1,0,0,0,0,0,0,0,{5B7EC647-8063-4D55-882B-5EC57B9620FB},3.0121550135707,-0.417245994649522
35,14610,FLORIDA MUNICIPAL POWER POOL,P O BOX 3193,ORLANDO,FL,32802,(407) 423-9018,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census, https://outagemap.ouc.com/external/default.html",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,http://www.ouc.com/,2019,11,3628,782,0,25,4538,5424,2164,{A2203041-FB88-44F6-89DB-3226CA07E5D2},18.7292269704735,-1.29375766809413
36,14624,"PUBLIC UTILITY DISTRICT NO. 2 OF GRANT CTY, WA",P O BOX 878,EPHRATA,WA,98823,(509) 754-0500,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,http://www.grantpud-org/,2019,8,1967,199,0,0,2166,838,439,{61645813-05BB-4B29-A13D-4A0A167AA3EF},4.73882458496249,-0.859559298342191
37,14725,"PJM INTERCONNECTION, LLC",2750 MONROE BOULEVARD,AUDUBON,PA,19403,(610) 666-8980,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,http://www.pjm.com/,2019,7,155957,1198,3736,0,162771,151499,70889,{ECB6C91B-9CE8-4A8D-A44A-36C79E6D3B6D},239.95161006394,-62.4046126969257
38,15248,PORTLAND GENERAL ELECTRIC COMPANY,121 SW SALMON STREET,PORTLAND,OR,97204,(503) 464-8000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,https://www.portlandgeneral-com/default-aspx,2019,8,4517,22,10,0,4549,3759,1612,{D2331702-5988-47CA-99A4-6D633D8F78EC},11.4582939904095,-1.20575220952488
39,15399,AVANGRID RENEWABLES LLC,"1125 NW COUCH ST., SUITE 700",PORTLAND,OR,97209,(503) 796-7000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION",EIA 861,2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,https://www.avangridrenewables.com/,NOT AVAILABLE,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,{E2C53385-7F67-4E51-9695-72BEB1E682F2},20.6119433553369,-6.18047538158299
40,15466,PUBLIC SERVICE COMPANY OF COLORADO,1800 LARIMER STREET,DENVER,CO,80202,(800) 895-4999,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,http://www.xcelenergy-com/,2019,7,8657,163,771,0,9591,8419,3897,{74496F3F-6FC7-44B3-80FC-AFCB81AE239C},74.7034658023978,-10.5965388478127
41,15473,PUBLIC SERVICE COMPANY OF NEW MEXICO,MS 2730414 SILVER S.W. AS-7,ALBUQUERQUE,NM,87102,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,http://www.pnmresources.com/about-us.aspx,2019,12,3006,0,33,3039,6477,3557,0,{E7DC5142-26A5-4E5F-952F-FEB31F5090E5},48.7687427595299,-24.8358557958354
42,15500,PUGET SOUND ENERGY,MS: PSE-08S,BELLEVUE,WA,98004,(888) 225-5773,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,http://pse.com/Pages/default-aspx,2019,2,3583,76,0,165,4998,4742,2282,{732DFD66-83D0-45E0-815C-39FA30D5131F},36.8578649128649,-3.19396618303427
43,16534,BALANCING AUTHORITY OF NORTHERN CALIFORNIA,6201 S STREET,SACRAMENTO,CA,95817,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,NOT AVAILABLE,2019,8,4522,218,70,114,4924,4457,0,{2EB422DD-DB08-432D-BD90-A6A3A645B193},13.0641392195464,-1.22311210793394
44,16572,SALT RIVER PROJECT,P O BOX 52025,PHOENIX,AZ,85072,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,NOT AVAILABLE,2019,8,7987,515,13,0,9377,7411,3012,{17913D0E-085B-4480-95C9-70E8B9C74EE7},8.25847629796141,-2.54969210628981
45,16868,SEATTLE CITY LIGHT,700 FIFTH AVENUE,SEATTLE,WA,98124,(800) 862-1181,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,http://www.seattle-gov/,2019,2,1677,83,33,0,2856,1804,1182,{2400BC21-606E-4883-BA96-BC3634D3EEBB},1.20076877214821,-0.0381799988834903
46,17539,SOUTH CAROLINA ELECTRIC & GAS COMPANY,100 SCANA PARKWAY,CAYCE,SC,29033,(800) 251-7234,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.sceg.com/outages-emergencies/power-outages/outage-map",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,https://www.sceg.com/,2019,7,6696,157,0,0,6876,4714,2148,{D978478B-4FE7-4FF9-B167-E890F2ED6A0B},19.5799857052204,-3.19816423388083
47,17543,SOUTH CAROLINA PUBLIC SERVICE AUTHORITY,ONE RIVERWOOD DRIVE,MONCKS CORNER,SC,29461,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,NOT AVAILABLE,2019,1,5514,-309,-23,0,5566,4558,1819,{B32D7A77-3376-480C-9E29-ED6EBBB242CE},54.9097470299526,-4.78974931714831
48,17716,SOUTHWESTERN POWER ADMINISTRATION,14165 EAST 143RD STREET SOUTH,GORE,OR,74435,(918) 489-5582,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,https://www.swpa.gov/,2019,8,1865,97,328,0,2290,138,43,{101F42FA-D78D-475B-89C6-936DCA146425},5.40538856453001,-0.161312747859995
49,18195,"SOUTHERN COMPANY SERVICES, INC. - TRANS",30 IVAN ALLEN JR. BLVD. NW,ATLANTA,GA,30308,(404) 506-5000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,https://www.southerncompany.com/,2019,8,59082,-1109,-1634,-300,55407,45867,16049,{DCB5C3AD-DE6F-49F9-999C-FFA9491D7A9A},55.4729552390761,-31.4725352087458
50,18429,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",3628 SOUTH 35TH STREET,TACOMA,WA,98411,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,NOT AVAILABLE,2019,2,765,0,0,0,1302,939,428,{5A182B66-CBE7-458A-93B6-F1DC3BF0937B},17.7779398698919,-2.24663272925771
51,18445,CITY OF TALLAHASSEE,400 E VAN BUREN STREET,TALLAHASSEE,FL,32301,(850) 891-4968,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,https://www.talgov.com/you/YourOwnUtilitiesHome.aspx,2019,8,688,0,0,18,706,616,241,{D2BDAFF0-4DD5-4C39-829A-53EE70B053F9},3.13867158865448,-0.0317896066639996
