,BA Code,BA Name 2022,HIFDL Name 2022,Activation Date,Retirement Date,Country,City,State
57,SWPP,Southwest Power Pool,SOUTHWEST POWER POOL,,,,,
58,TAL,City of Tallahassee,CITY OF TALLAHASSEE,,,,,
59,TEC,Tampa Electric Company,TAMPA ELECTRIC COMPANY,,,,,
60,TEPC,Tucson Electric Power,TUCSON ELECTRIC POWER COMPANY,,,,,
61,TIDC,Turlock Irrigation District,TURLOCK IRRIGATION DISTRICT,,,,,
62,TPWR,"City of Tacoma, Department of Public Utilities, Light Division","CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",,,,,
63,TVA,Tennessee Valley Authority,TENNESSEE VALLEY AUTHORITY,,,,,
64,WACM,Western Area Power Administration - Rocky Mountain Region,WESTERN AREA POWER ADMINISTRATION - DESERT SOUTHWEST REGION,,,,,
65,WALC,Western Area Power Administration - Desert Southwest Region,WESTERN AREA POWER ADMINISTRATION - ROCKY MOUNTAIN REGION,,,,,
66,WAUE,Western Area Power Administration - Upper Great Plains East,,,10/1/2015,,,
67,WAUW,Western Area Power Administration - Upper Great Plains West,WESTERN AREA POWER ADMINISTRATION UGP WEST,,,,,
68,WWA,"NaturEner Wind Watch, LLC","NATURENER WIND WATCH, LLC",,,,,
69,YAD,"Alcoa Power Generating, Inc. - Yadkin Division","ALCOA POWER GENERATING, INC. - YADKIN DIVISION",,,,,
70,AESO,Alberta Electric System Operator,,,,CAN,,
71,BCHA,British Columbia Hydro and Power Authority,,,,CAN,,
72,HQT,Hydro-Quebec TransEnergie,,,,CAN,,
73,IESO,Ontario IESO,,,,CAN,,
74,MHEB,Manitoba Hydro,,,,CAN,,
75,NBSO,New Brunswick System Operator,NEW BRUNSWICK SYSTEM OPERATOR,,,CAN,,
76,SPC,Saskatchewan Power Corporation,,,,CAN,,
77,CEN,Centro Nacional de Control de Energia,,,,MEX,,
78,CFE,Comision Federal de Electricidad,,,,MEX,,
,,,GRIDFORCE SOUTH,,,,HOUSTON,TX
,,,HAWAIIAN ELECTRIC CO INC,,,,HONOLULU,HI
,,,CHUGACH ELECTRIC ASSN INC,,,,ANCHORAGE,AK
,,,ANCHORAGE MUNICIPAL LIGHT & POWER,,,,ANCHORAGE,AK
